"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Negative Regulation Of Cytokine Production Involved In Inflammatory Response (GO:1900016)","3/20",0.00163320584541237,0.00999653510749046,0,0,14.8272841051314,95.1498020509895,"SIRPA;TREM2;LILRB4"
"Response To Amyloid-Beta (GO:1904645)","4/43",0.00167666841289471,0.0102282380773242,0,0,8.64475126013587,55.2481431728585,"PRNP;TREM2;FCGR2B;TLR4"
"Positive Regulation Of Protein Kinase Activity (GO:0045860)","7/145",0.00178025240430542,0.0108239346181769,0,0,4.30917874396135,27.2814111647674,"CSF1R;PRNP;CD4;PTPRC;SLC11A1;LCP2;FCGR1A"
"Regulation Of Viral Entry Into Host Cell (GO:0046596)","4/44",0.00182731830629224,0.0110365185121757,0,0,8.42820512820513,53.139039339811,"CD74;CD4;LGALS9;HLA-DRB1"
"Extracellular Matrix Disassembly (GO:0022617)","4/44",0.00182731830629224,0.0110365185121757,0,0,8.42820512820513,53.139039339811,"CAPG;ADAM8;LCP1;CTSS"
"Positive Regulation Of Phosphorylation (GO:0042327)","9/231",0.00185179805571779,0.0111474576027368,0,0,3.45922341555529,21.764043779742,"LYN;CD74;CSF1R;CD4;PLAUR;PECAM1;NCKAP1L;TREM2;HLA-DRB1"
"Response To Tumor Necrosis Factor (GO:0034612)","6/108",0.00185835806462909,0.0111501483877745,0,0,4.98478701825558,31.3446495388276,"CCL13;ASAH1;CCL8;CCL3L1;CCL7;CCL3"
"Negative Regulation Of Biomineral Tissue Development (GO:0070168)","3/21",0.00188877528855995,0.0112954954961749,0,0,14.0028368794326,87.8233655919422,"CCR1;SRGN;CCL3"
"Regulation Of Apoptotic Signaling Pathway (GO:2001233)","4/45",0.00198709568360943,0.0118446487807307,0,0,8.22222222222222,51.1511117744783,"CTSL;CTSH;CTSS;GRINA"
"Positive Regulation Of GTPase Activity (GO:0043547)","9/234",0.00202147957855202,0.0119059427246813,0,0,3.41257641921397,21.17137011036,"DOCK10;CCL13;CCL8;CCL3L1;CCL7;RGS1;DOCK8;CCL3;TGM2"
"Regulation Of Digestive System Process (GO:0044058)","2/6",0.00204959759624448,0.0119059427246813,0,0,41.8601694915254,259.119129103375,"SGK1;TYMP"
"Regulation Of Natural Killer Cell Chemotaxis (GO:2000501)","2/6",0.00204959759624448,0.0119059427246813,0,0,41.8601694915254,259.119129103375,"CCL7;CCL3"
"Interleukin-3-Mediated Signaling Pathway (GO:0038156)","2/6",0.00204959759624448,0.0119059427246813,0,0,41.8601694915254,259.119129103375,"FCER1G;SYK"
"Positive Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production (GO:2000343)","2/6",0.00204959759624448,0.0119059427246813,0,0,41.8601694915254,259.119129103375,"LCP1;TLR4"
"Positive Regulation Of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031666)","2/6",0.00204959759624448,0.0119059427246813,0,0,41.8601694915254,259.119129103375,"LY86;LY96"
"Regulation Of T-helper Cell Differentiation (GO:0045622)","2/6",0.00204959759624448,0.0119059427246813,0,0,41.8601694915254,259.119129103375,"HLA-DRA;HLA-DRB1"
"Regulation Of Antigen Receptor-Mediated Signaling Pathway (GO:0050854)","2/6",0.00204959759624448,0.0119059427246813,0,0,41.8601694915254,259.119129103375,"LYN;PTPRC"
"Negative Regulation Of Protein Phosphorylation (GO:0001933)","7/149",0.00207801786678317,0.0120327129809921,0,0,4.18693982074264,25.8599671929059,"LYN;PRNP;SPRED1;PTPRC;SIRPA;PTPN6;SAMSN1"
"Positive Regulation Of Cellular Process (GO:0048522)","16/594",0.00209340148088228,0.0120834313326876,0,0,2.39209451666199,14.75674742925,"LYN;CD86;CSF1R;GRN;OSM;AIF1;GNAI2;CLEC7A;ITGAX;CTSH;HCLS1;ADAM8;PTPN6;FCGR2B;TLR4;TGM2"
"Cytoskeleton Organization (GO:0007010)","6/111",0.002135226796531,0.0122859737440774,0,0,4.84162561576355,29.7720390725489,"CCL13;CCL7;CCL3;TNFAIP3;SH3BGRL3;ARHGAP4"
"T Cell Differentiation (GO:0030217)","4/46",0.00215627835822776,0.0123293157536283,0,0,8.02604802604803,49.2748907144519,"CD4;SPI1;FCER1G;PTPRC"
"Cellular Component Disassembly (GO:0022411)","4/46",0.00215627835822776,0.0123293157536283,0,0,8.02604802604803,49.2748907144519,"CAPG;ADAM8;LCP1;CTSS"
"Cellular Response To Cadmium Ion (GO:0071276)","3/22",0.00216792443943548,0.0123571693047822,0,0,13.2651735722284,81.3683763600752,"NCF1;SLC11A1;SLC39A8"
"Negative Regulation Of Defense Response (GO:0031348)","6/112",0.00223409762250918,0.01269468555594,0,0,4.79570592062459,29.2725951197812,"PTGER4;ALOX5;IL10RA;SIRPA;TNFAIP3;SLC39A8"
"Lymphocyte Activation Involved In Immune Response (GO:0002285)","3/23",0.00247137672005245,0.0139560097132374,0,0,12.6012765957447,75.6452102078053,"CD74;GPR183;LCP1"
"Positive Regulation Of Protein Targeting To Membrane (GO:0090314)","3/23",0.00247137672005245,0.0139560097132374,0,0,12.6012765957447,75.6452102078053,"PRNP;ITGAM;ITGB2"
"Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0010803)","4/48",0.00252396056136313,0.0142089631602665,0,0,7.66045066045066,45.8242486700966,"SYK;LAPTM5;TNFAIP3;NAIP"
"ERK1 And ERK2 Cascade (GO:0070371)","3/24",0.00279981977073779,0.0152730654268645,0,0,12.0006079027356,70.5419761515966,"PTGER4;CTSH;LGALS9"
"Negative Regulation Of Ossification (GO:0030279)","3/24",0.00279981977073779,0.0152730654268645,0,0,12.0006079027356,70.5419761515966,"CCR1;SRGN;CCL3"
"Regulation Of Dendritic Cell Chemotaxis (GO:2000508)","2/7",0.00284695298527079,0.0152730654268645,0,0,33.4864406779661,196.280972436909,"SLAMF8;LGALS9"
"Regulation Of Dopamine Metabolic Process (GO:0042053)","2/7",0.00284695298527079,0.0152730654268645,0,0,33.4864406779661,196.280972436909,"ITGAM;ITGB2"
"IMP Biosynthetic Process (GO:0006188)","2/7",0.00284695298527079,0.0152730654268645,0,0,33.4864406779661,196.280972436909,"AMPD2;AMPD3"
"Regulation Of Leukocyte Degranulation (GO:0043300)","2/7",0.00284695298527079,0.0152730654268645,0,0,33.4864406779661,196.280972436909,"LYN;SYK"
"Dendritic Spine Maintenance (GO:0097062)","2/7",0.00284695298527079,0.0152730654268645,0,0,33.4864406779661,196.280972436909,"PRNP;TREM2"
"Negative Regulation Of Inflammatory Response To Wounding (GO:0106015)","2/7",0.00284695298527079,0.0152730654268645,0,0,33.4864406779661,196.280972436909,"SIGLEC10;PTPN6"
"Negative Regulation Of Leukocyte Proliferation (GO:0070664)","2/7",0.00284695298527079,0.0152730654268645,0,0,33.4864406779661,196.280972436909,"LYN;TNFAIP3"
"Negative Regulation Of Microglial Cell Activation (GO:1903979)","2/7",0.00284695298527079,0.0152730654268645,0,0,33.4864406779661,196.280972436909,"GRN;PTPRC"
"Positive Regulation Of Apoptotic Cell Clearance (GO:2000427)","2/7",0.00284695298527079,0.0152730654268645,0,0,33.4864406779661,196.280972436909,"TREM2;C2"
"Positive Regulation Of Aspartic-Type Peptidase Activity (GO:1905247)","2/7",0.00284695298527079,0.0152730654268645,0,0,33.4864406779661,196.280972436909,"LYN;GRN"
"Positive Regulation Of Isomerase Activity (GO:0010912)","2/7",0.00284695298527079,0.0152730654268645,0,0,33.4864406779661,196.280972436909,"ITGAM;ITGB2"
"Positive Regulation Of Leukocyte Differentiation (GO:1902107)","2/7",0.00284695298527079,0.0152730654268645,0,0,33.4864406779661,196.280972436909,"NCKAP1L;LGALS9"
"Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000514)","2/7",0.00284695298527079,0.0152730654268645,0,0,33.4864406779661,196.280972436909,"HLA-DRA;HLA-DRB1"
"Regulation Of CD8-positive, Alpha-Beta T Cell Differentiation (GO:0043376)","2/7",0.00284695298527079,0.0152730654268645,0,0,33.4864406779661,196.280972436909,"NCKAP1L;LILRB4"
"Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056)","6/118",0.00290159715912526,0.0155205666224178,0,0,4.53740763546798,26.509776654676,"DOCK8;ARHGAP18;DOCK2;VAV1;TGM2;ARHGAP4"
"Intracellular Iron Ion Homeostasis (GO:0006879)","4/50",0.00293254355159912,0.0156402322751953,0,0,7.32664437012263,42.7281483270145,"SLC11A1;HMOX1;B2M;FTL"
"Cellular Response To Organic Substance (GO:0071310)","5/82",0.00296716272399866,0.0157787312203311,0,0,5.48603756758263,31.9295565816532,"CSF1R;SYK;CCL3;HCLS1;TREM2"
"Regulation Of Protein Kinase Activity (GO:0045859)","6/119",0.00302592559228893,0.0159979370444493,0,0,4.49702471772963,26.0851639015861,"FGR;SPRED1;CD4;PTPRC;C5AR1;LCP2"
"Cellular Response To Tumor Necrosis Factor (GO:0071356)","6/119",0.00302592559228893,0.0159979370444493,0,0,4.49702471772963,26.0851639015861,"CCL13;ASAH1;CCL8;CCL3L1;CCL7;CCL3"
"Regulation Of NIK/NF-kappaB Signaling (GO:1901222)","5/83",0.00312732339621935,0.0163895305449551,0,0,5.41542863431275,31.2339058888851,"CD86;SPI1;LAPTM5;LGALS9;TLR4"
"Regulation Of Lysosomal Lumen pH (GO:0035751)","3/25",0.00315390637131537,0.0163895305449551,0,0,11.4545454545455,65.9680270953451,"GRN;PPT1;ATP6V1F"
"Regulation Of Monocyte Chemotaxis (GO:0090025)","3/25",0.00315390637131537,0.0163895305449551,0,0,11.4545454545455,65.9680270953451,"CCR1;LYN;SLAMF8"
"Regulation Of Neutrophil Chemotaxis (GO:0090022)","3/25",0.00315390637131537,0.0163895305449551,0,0,11.4545454545455,65.9680270953451,"MPP1;CD74;NCKAP1L"
"Regulation Of Protein Processing (GO:0070613)","3/25",0.00315390637131537,0.0163895305449551,0,0,11.4545454545455,65.9680270953451,"PRNP;PLAUR;ADAM8"
"Negative Regulation Of Response To Wounding (GO:1903035)","3/25",0.00315390637131537,0.0163895305449551,0,0,11.4545454545455,65.9680270953451,"ALOX5;SIGLEC10;PTPN6"
"Regulation Of Reactive Oxygen Species Biosynthetic Process (GO:1903426)","3/26",0.0035342553411627,0.0182619879384724,0,0,10.9559666975023,61.849200086734,"ALOX5;CYBA;TLR4"
"Dendritic Spine Organization (GO:0097061)","3/26",0.0035342553411627,0.0182619879384724,0,0,10.9559666975023,61.849200086734,"DOCK10;PRNP;TREM2"
"Regulation Of Cell Motility (GO:2000145)","6/123",0.00356338943837532,0.0183605150723068,0,0,4.34239610963749,24.478274017036,"DOCK10;CSF1R;ARHGAP18;PLXNC1;SGK1;TMSB10"
"Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224)","4/53",0.00362676978596869,0.0186344453228363,0,0,6.87702773417059,38.6448583148866,"CD86;LAPTM5;LGALS9;TLR4"
"Regulation Of Dendritic Spine Maintenance (GO:1902950)","2/8",0.00376622138243311,0.0190293290901883,0,0,27.9039548022599,155.751031993458,"PRNP;FCGR2B"
"Manganese Ion Transport (GO:0006828)","2/8",0.00376622138243311,0.0190293290901883,0,0,27.9039548022599,155.751031993458,"SLC11A1;SLC39A8"
"Positive Regulation Of CD8-positive, Alpha-Beta T Cell Activation (GO:2001187)","2/8",0.00376622138243311,0.0190293290901883,0,0,27.9039548022599,155.751031993458,"NCKAP1L;LILRB4"
"Positive Regulation Of Mast Cell Degranulation (GO:0043306)","2/8",0.00376622138243311,0.0190293290901883,0,0,27.9039548022599,155.751031993458,"VAMP8;SYK"
"Positive Regulation Of Membrane Invagination (GO:1905155)","2/8",0.00376622138243311,0.0190293290901883,0,0,27.9039548022599,155.751031993458,"NCKAP1L;TREM2"
"Positive Regulation Of Memory T Cell Differentiation (GO:0043382)","2/8",0.00376622138243311,0.0190293290901883,0,0,27.9039548022599,155.751031993458,"HLA-DRA;HLA-DRB1"
"Positive Regulation Of Leukocyte Chemotaxis (GO:0002690)","4/54",0.00388091451545817,0.0195546631939108,0,0,6.7391452991453,37.4136081855215,"CCR1;CSF1R;LGALS9;AIF1"
"Regulation Of Immunoglobulin Production (GO:0002637)","3/27",0.00394145242192622,0.019696463609845,0,0,10.4989361702128,58.1242732994068,"CD86;PTPRC;FCGR2B"
"Cortical Cytoskeleton Organization (GO:0030865)","3/27",0.00394145242192622,0.019696463609845,0,0,10.4989361702128,58.1242732994068,"PLEK;NCKAP1L;LCP1"
"Positive Regulation Of Immune System Process (GO:0002684)","3/27",0.00394145242192622,0.019696463609845,0,0,10.4989361702128,58.1242732994068,"NCKAP1L;LGALS9;LILRB2"
"Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531)","4/55",0.0041468520815719,0.0206662792261944,0,0,6.60667001843472,36.2402658206693,"LYN;CSF1R;OSM;HCLS1"
"Regulation Of Chemotaxis (GO:0050920)","3/28",0.00437605114455617,0.0215146018535592,0,0,10.0784680851064,54.7422931842947,"GPR183;TREM2;AIF1"
"Apoptotic Cell Clearance (GO:0043277)","3/28",0.00437605114455617,0.0215146018535592,0,0,10.0784680851064,54.7422931842947,"TYROBP;TREM2;TGM2"
"Regulation Of Protein Targeting To Membrane (GO:0090313)","3/28",0.00437605114455617,0.0215146018535592,0,0,10.0784680851064,54.7422931842947,"PRNP;ITGAM;ITGB2"
"Hematopoietic Progenitor Cell Differentiation (GO:0002244)","3/28",0.00437605114455617,0.0215146018535592,0,0,10.0784680851064,54.7422931842947,"LYN;PTPRC;PLEK"
"Regulation Of Bone Resorption (GO:0045124)","3/28",0.00437605114455617,0.0215146018535592,0,0,10.0784680851064,54.7422931842947,"CSF1R;SYK;TNFAIP3"
"Cellular Response To Peptide (GO:1901653)","4/56",0.00442483222339323,0.0216959515469603,0,0,6.4792899408284,35.1211396092305,"PRNP;TREM2;FCGR2B;TLR4"
"Myeloid Cell Differentiation (GO:0030099)","4/57",0.00471510105362464,0.0227616864849144,0,0,6.35671665860345,34.0528353492267,"LYN;SPI1;HCLS1;EVI2B"
"Regulation Of Dendritic Cell Apoptotic Process (GO:2000668)","2/9",0.00480441299160749,0.0227616864849144,0,0,23.9164648910412,127.671361020744,"LYN;LGALS9"
"IMP Metabolic Process (GO:0046040)","2/9",0.00480441299160749,0.0227616864849144,0,0,23.9164648910412,127.671361020744,"AMPD2;AMPD3"
"T-helper 1 Type Immune Response (GO:0042088)","2/9",0.00480441299160749,0.0227616864849144,0,0,23.9164648910412,127.671361020744,"TLR4;HLA-DRB1"
"Regulation Of Mast Cell Activation (GO:0033003)","2/9",0.00480441299160749,0.0227616864849144,0,0,23.9164648910412,127.671361020744,"LYN;CD84"
"Regulation Of Memory T Cell Differentiation (GO:0043380)","2/9",0.00480441299160749,0.0227616864849144,0,0,23.9164648910412,127.671361020744,"HLA-DRA;HLA-DRB1"
"Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002886)","2/9",0.00480441299160749,0.0227616864849144,0,0,23.9164648910412,127.671361020744,"LYN;SYK"
"Granulocyte Migration (GO:0097530)","2/9",0.00480441299160749,0.0227616864849144,0,0,23.9164648910412,127.671361020744,"ITGB2;CCL3"
"Negative Regulation Of Leukocyte Migration (GO:0002686)","2/9",0.00480441299160749,0.0227616864849144,0,0,23.9164648910412,127.671361020744,"SLAMF8;HMOX1"
"Pinocytosis (GO:0006907)","2/9",0.00480441299160749,0.0227616864849144,0,0,23.9164648910412,127.671361020744,"PPT1;DOCK2"
"Positive Regulation Of Leukocyte Apoptotic Process (GO:2000108)","2/9",0.00480441299160749,0.0227616864849144,0,0,23.9164648910412,127.671361020744,"LYN;LGALS9"
"Positive Regulation Of Phagocytosis, Engulfment (GO:0060100)","2/9",0.00480441299160749,0.0227616864849144,0,0,23.9164648910412,127.671361020744,"NCKAP1L;TREM2"
"Positive Regulation Of Platelet Activation (GO:0010572)","2/9",0.00480441299160749,0.0227616864849144,0,0,23.9164648910412,127.671361020744,"PLEK;TLR4"
"Heterotypic Cell-Cell Adhesion (GO:0034113)","3/29",0.00483857367356726,0.0228641408823489,0,0,9.69034369885434,51.6605333352412,"ITGB2;ITGAX;LILRB2"
"B Cell Activation (GO:0042113)","5/92",0.00486082435910469,0.0229099318630671,0,0,4.85299195895614,25.8496908967611,"CD86;LAT2;PTPRC;NFAM1;GPR183"
"Positive Regulation Of Apoptotic Process (GO:0043065)","9/270",0.00519393569530883,0.0244168523408333,0,0,2.93645535310947,15.4465290495643,"PRNP;GRN;CTSL;CCL3;CTSH;MNDA;CTSD;CTSS;TGM2"
"Negative Regulation Of Apoptotic Process (GO:0043066)","13/482",0.00529940317649388,0.0248486154085471,0,0,2.37677327647477,12.4546748026669,"CD74;GRN;PLAUR;TREM2;CLEC5A;PPT1;CTSH;HCLS1;NCKAP1L;ADAM8;EVI2B;NAIP;GRINA"
"Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960)","4/59",0.00533347039877445,0.024880434801444,0,0,6.12494172494173,32.0564330217997,"PTPRC;TREM2;SAMHD1;NAIP"
"Positive Regulation Of Proteolysis (GO:0045862)","4/59",0.00533347039877445,0.024880434801444,0,0,6.12494172494173,32.0564330217997,"CTSL;CTSH;CTSS;CTSC"
"T Cell Receptor Signaling Pathway (GO:0050852)","5/95",0.00556562274404986,0.0258971833804769,0,0,4.69051025274201,24.3491253977816,"FYB1;PTPRC;LCP2;HLA-DRB1;HLA-DPA1"
"Toll-Like Receptor Signaling Pathway (GO:0002224)","3/31",0.00584932694987701,0.0269423544357972,0,0,8.99726443768997,46.2587933824383,"LY96;TLR4;CTSS"
"Positive Regulation Of Leukocyte Migration (GO:0002687)","3/31",0.00584932694987701,0.0269423544357972,0,0,8.99726443768997,46.2587933824383,"NCKAP1L;ADAM8;AIF1"
"Positive Regulation Of Mononuclear Cell Migration (GO:0071677)","3/31",0.00584932694987701,0.0269423544357972,0,0,8.99726443768997,46.2587933824383,"CCR1;LGALS9;AIF1"
"Positive Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903052)","3/31",0.00584932694987701,0.0269423544357972,0,0,8.99726443768997,46.2587933824383,"LAPTM5;TREM2;CTSC"
"Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Signaling Pathway (GO:2001267)","2/10",0.0059585913720441,0.0270359966731553,0,0,20.9258474576271,107.201466999706,"PLAUR;LGALS9"
"T Cell Chemotaxis (GO:0010818)","2/10",0.0059585913720441,0.0270359966731553,0,0,20.9258474576271,107.201466999706,"GPR183;CCL3"
"Regulation Of Phagocytosis, Engulfment (GO:0060099)","2/10",0.0059585913720441,0.0270359966731553,0,0,20.9258474576271,107.201466999706,"NCKAP1L;TREM2"
"Heme Catabolic Process (GO:0042167)","2/10",0.0059585913720441,0.0270359966731553,0,0,20.9258474576271,107.201466999706,"SLCO2B1;HMOX1"
"Lipoprotein Catabolic Process (GO:0042159)","2/10",0.0059585913720441,0.0270359966731553,0,0,20.9258474576271,107.201466999706,"PPT1;CTSD"
"Receptor-Mediated Endocytosis Of Virus By Host Cell (GO:0019065)","2/10",0.0059585913720441,0.0270359966731553,0,0,20.9258474576271,107.201466999706,"CTSL;SIGLEC1"
"Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235)","4/62",0.0063591212750335,0.0287817300388613,0,0,5.80725022104332,29.3722880775803,"CTSL;CTSH;TLR4;CTSS"
"Intracellular Calcium Ion Homeostasis (GO:0006874)","6/139",0.00644215153579861,0.0290853574289521,0,0,3.8168913663469,19.2558074108213,"CCR1;CCL13;CCL8;CCL7;CCL3;SLC8A1"
"Antimicrobial Humoral Response (GO:0019730)","5/100",0.00689584136340307,0.0310568262885116,0,0,4.44251185904676,22.1096562825579,"CCL13;CXCL9;SLC11A1;RNASE6;LYZ"
"Negative Regulation Of Macromolecule Metabolic Process (GO:0010605)","7/186",0.00699840184544702,0.0314410959756043,0,0,3.31521923142035,16.4503613748649,"CCR1;MSR1;SPI1;CCL3;LGALS9;LILRB2;HAVCR2"
"Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)","9/284",0.0071533065746684,0.0318357285874081,0,0,2.78496228662168,13.7582165798413,"LYN;FGR;CSF1R;DOK2;CD4;SYK;GRB2;LCP2;VAV1"
"Hemopoiesis (GO:0030097)","5/101",0.00718634042376896,0.0318357285874081,0,0,4.3960121602289,21.6968398849922,"LYN;CSF1R;PTPRC;PLEK;EVI2B"
"Negative Regulation Of Gene Expression (GO:0010629)","10/336",0.00719255402511443,0.0318357285874081,0,0,2.61489613604564,12.9037513691449,"CCR1;PTGER4;SRGN;MSR1;SPI1;SLC11A1;CCL3;LGALS9;FCGR2B;HAVCR2"
"AMP Metabolic Process (GO:0046033)","2/11",0.0072258726070104,0.0318357285874081,0,0,18.5998116760829,91.6986948843384,"AMPD2;AMPD3"
"Complement Receptor Mediated Signaling Pathway (GO:0002430)","2/11",0.0072258726070104,0.0318357285874081,0,0,18.5998116760829,91.6986948843384,"C5AR1;FPR3"
"Purine Ribonucleoside Monophosphate Biosynthetic Process (GO:0009168)","2/11",0.0072258726070104,0.0318357285874081,0,0,18.5998116760829,91.6986948843384,"AMPD2;AMPD3"
"Purine Ribonucleoside Monophosphate Metabolic Process (GO:0009167)","2/11",0.0072258726070104,0.0318357285874081,0,0,18.5998116760829,91.6986948843384,"AMPD2;AMPD3"
"Regulation Of Adipose Tissue Development (GO:1904177)","2/11",0.0072258726070104,0.0318357285874081,0,0,18.5998116760829,91.6986948843384,"SPI1;LCP1"
"Positive Regulation Of Transferase Activity (GO:0051347)","6/143",0.0073689106025236,0.032387693828923,0,0,3.70469418575384,18.1918467062832,"CSF1R;CD74;CD4;ARRDC3;TREM2;HLA-DRB1"
"Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509)","4/65",0.00750789342607575,0.0329192250220244,0,0,5.52080706179067,27.0066859451635,"LYN;CSF1R;OSM;HCLS1"
"Regulation Of T Cell Receptor Signaling Pathway (GO:0050856)","3/34",0.0075862267870852,0.0331829200471065,0,0,8.12532601235415,39.663136546604,"PRNP;LAPTM5;LILRB4"
"Regulation Of Cell Adhesion (GO:0030155)","6/144",0.00761489535209574,0.0332286342636905,0,0,3.67766116941529,17.9383404543037,"LYN;PLAUR;LPXN;ADAM8;PLXNC1;TGM2"
"Regulation Of Cold-Induced Thermogenesis (GO:0120161)","6/146",0.00812455356942443,0.0352837755015004,0,0,3.62475369458128,17.4454483691131,"SYK;ACSL1;ARRDC3;ALDH1A1;UCP2;TLR4"
"Negative Regulation Of Response To External Stimulus (GO:0032102)","6/146",0.00812455356942443,0.0352837755015004,0,0,3.62475369458128,17.4454483691131,"PTGER4;ALOX5;IL10RA;SIRPA;TNFAIP3;SLC39A8"
"Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production (GO:2000341)","2/12",0.00860342448036626,0.0365795949934454,0,0,16.7389830508475,79.6038234252725,"LCP1;TLR4"
"Regulation Of Interleukin-5 Production (GO:0032674)","2/12",0.00860342448036626,0.0365795949934454,0,0,16.7389830508475,79.6038234252725,"LGALS9;LILRB4"
"Cellular Component Maintenance (GO:0043954)","2/12",0.00860342448036626,0.0365795949934454,0,0,16.7389830508475,79.6038234252725,"PRNP;TREM2"
"Defense Response To Tumor Cell (GO:0002357)","2/12",0.00860342448036626,0.0365795949934454,0,0,16.7389830508475,79.6038234252725,"SPI1;LAPTM5"
"Detection Of Bacterium (GO:0016045)","2/12",0.00860342448036626,0.0365795949934454,0,0,16.7389830508475,79.6038234252725,"HLA-DRB1;NAIP"
"Multicellular Organismal-Level Iron Ion Homeostasis (GO:0060586)","2/12",0.00860342448036626,0.0365795949934454,0,0,16.7389830508475,79.6038234252725,"SLC11A1;HMOX1"
"Porphyrin-Containing Compound Catabolic Process (GO:0006787)","2/12",0.00860342448036626,0.0365795949934454,0,0,16.7389830508475,79.6038234252725,"SLCO2B1;HMOX1"
"Positive Regulation Of Calcium-Mediated Signaling (GO:0050850)","2/12",0.00860342448036626,0.0365795949934454,0,0,16.7389830508475,79.6038234252725,"CLEC7A;TREM2"
"Positive Regulation Of Reactive Oxygen Species Biosynthetic Process (GO:1903428)","2/12",0.00860342448036626,0.0365795949934454,0,0,16.7389830508475,79.6038234252725,"CYBA;TLR4"
"Regulation Of Erythrocyte Differentiation (GO:0045646)","3/36",0.0088957487858737,0.0375598282070223,0,0,7.6321083172147,36.0402028451826,"LYN;SPI1;NCKAP1L"
"Lytic Vacuole Organization (GO:0080171)","3/36",0.0088957487858737,0.0375598282070223,0,0,7.6321083172147,36.0402028451826,"GRN;ACP2;TPP1"
"Regulation Of T Cell Mediated Cytotoxicity (GO:0001914)","3/36",0.0088957487858737,0.0375598282070223,0,0,7.6321083172147,36.0402028451826,"PTPRC;HLA-DRA;HLA-DRB1"
"Lipid Transport (GO:0006869)","5/108",0.00946276434221249,0.0398616216170799,0,0,4.09579565815242,19.0880080960933,"GM2A;ACSL1;NPC2;SLCO2B1;PLTP"
"Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662)","3/37",0.00959696201099173,0.0403337758249975,0,0,7.4072590738423,34.4164121874296,"TNFAIP3;HMOX1;AIF1"
"Cell-Matrix Adhesion (GO:0007160)","5/109",0.00982407930418216,0.0410989005752942,0,0,4.05620666886761,18.7515142086305,"ITGAM;ITGB2;ITGAX;SIGLEC1;FERMT3"
"Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043280)","5/109",0.00982407930418216,0.0410989005752942,0,0,4.05620666886761,18.7515142086305,"SYK;CLEC7A;LAPTM5;LGALS9;CTSD"
"Regulation Of Leukocyte Migration (GO:0002685)","2/13",0.0100884656668438,0.0418212758552797,0,0,15.2164869029276,69.9404901005746,"HMOX1;NCKAP1L"
"Endolysosomal Toll-Like Receptor Signaling Pathway (GO:0140894)","2/13",0.0100884656668438,0.0418212758552797,0,0,15.2164869029276,69.9404901005746,"UNC93B1;PIK3AP1"
"Glutamine Metabolic Process (GO:0006541)","2/13",0.0100884656668438,0.0418212758552797,0,0,15.2164869029276,69.9404901005746,"UCP2;GLUL"
"Positive Regulation Of Alpha-Beta T Cell Differentiation (GO:0046638)","2/13",0.0100884656668438,0.0418212758552797,0,0,15.2164869029276,69.9404901005746,"NCKAP1L;LILRB4"
"Import Into Cell (GO:0098657)","3/38",0.0103295185323351,0.0425305684040164,0,0,7.19525835866261,32.9021148218858,"SLC7A8;IL10RA;TREM2"
"Negative Regulation Of Type I Interferon Production (GO:0032480)","3/38",0.0103295185323351,0.0425305684040164,0,0,7.19525835866261,32.9021148218858,"TYROBP;SIRPA;HAVCR2"
"Positive Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002702)","3/38",0.0103295185323351,0.0425305684040164,0,0,7.19525835866261,32.9021148218858,"CD86;PTPRC;LAPTM5"
"Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428)","3/39",0.0110936697867461,0.0453696271099212,0,0,6.99503546099291,31.4873170800738,"CLEC7A;SIRPA;TLR4"
"Regulation Of Receptor-Mediated Endocytosis (GO:0048259)","3/39",0.0110936697867461,0.0453696271099212,0,0,6.99503546099291,31.4873170800738,"BMP2K;PPT1;B2M"
"Positive Regulation Of Lymphocyte Differentiation (GO:0045621)","3/39",0.0110936697867461,0.0453696271099212,0,0,6.99503546099291,31.4873170800738,"SPI1;SYK;NCKAP1L"
"Regulation Of Establishment Of Protein Localization (GO:0070201)","2/14",0.0116782649281312,0.0470224177238662,0,0,13.9477401129943,62.0678042372792,"TREM2;CTSD"
"T Cell Proliferation (GO:0042098)","2/14",0.0116782649281312,0.0470224177238662,0,0,13.9477401129943,62.0678042372792,"DOCK8;SLC11A1"
